Manifeste (thème);Manifeste (action);Répertoire;Objectif général;Objectif intermédiaire;Actions du répertoire des solutions;Cotation coût/climat;Devenir Orléans Métropole;Si Orléans Métropole ne retient pas, motif :;Etat de maturité de la solution;Financement;Ce que nous pourrons faire dès 2022;Soutenu par un document de planification existant ?;Solution Totem;cotation_cout;valeur_cout;cotation_climat;valeur_climat;Nom du thème
1.0;13;903;EnR;Assurer la montée en compétences du territoire et soutenir les projets;Rendre les économies visibles à la suite des rénovations énergétiques;coût+/ impact++;Orléans Métropole soutient;;est déjà en place,statut expérimental,mérite une progression;n'a pas encore été chiffré;"Mettre à jour l'Observatoire de l'Energie et du Climat, notamment le nombre de rénovations aidées par les aides publiques
Partager des retours d'expérience via le guide énergétique";SDE;non;coût+;1;impact++;2;Energies renouvelables
1.0;14;47;EnR;Développer les productions d'énergies renouvelables selon un mix énergétique compatible avec nos potentiels;Étudier l'opportunité d'énergies renouvelables thermiques (bois,  géothermie ou solaire) pour chauffer les bâtiments des collectivités ou des entreprises;coût ++/ impact ++;Orléans Métropole pilote;;besoin d'études préalables;fait l'objet d'une inscription au PPI;Etudier le lancement d'un Contrat d'objectif territorial pour le développement des énergies renouvelables thermiques, avec l'ADEME. Sensibilisation des porteurs de projets potentiels, montée en compétences, établissement d'un plan de financement;autre;non;coût++;2;impact++;2;Energies renouvelables
5.0;45;377;Déchets et économie circulaire;Développer une alimentation durable et anti-gaspillage;Développer les initiatives de Restauration scolaire anti-gaspillage alimentaire;coût +/impact +++;Orléans Métropole soutient;;est déjà en place,statut expérimental,mérite une progression;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;Soutenir les restaurations communales volontaires, formaliser notre engagement dans le PLPDMA et mettre en réseau les acteurs volontaires;PLPD;oui;coût+;1;impact+++;3;Déchets et économie circulaire
3.0;24;230;Biodiversité;Conception et gestion des espaces  favorables à la biodiversité;"Valoriser / développer la marque ""végétal local"" notamment chez les pépiniéristes afin qu'ils soient plus impliqués pour répondre à la demande croissante";coût +/impact +++;Orléans Métropole soutient;;besoin d'études préalables;n'a pas encore été chiffré;"(continuer à ) Intégrer la marque Végétal  local aux commandes. Choisir des lieux tests pour mettre en œuvre des projets, en passant par des contrats de culture dès le 1er semestre 2022, avec les plantantions à suivre (Projet de plantation de haies à Bou); Solliciter Plantons Par Nature pour un accompagnement technique et pratique";PCAET;non;coût+;1;impact+++;3;Biodiversité
6.0;55;125;Inondation;Organiser la gestion de crise et le post crise;Monter des Réserves Communales de Sécurité Civile;coût +/impact +++;Orléans Métropole soutient;;est déjà en place,statut expérimental,mérite une progression;n'a pas encore été chiffré;Validation dans le cadre du réseau référents risques;;non;coût+;1;impact+++;3;Risque inondation
6.0;56;121;Inondation;Mieux connaitre et adapter son territoire;Mener des études sur le karst sur la métropole;coût ++/impact +++;Orléans Métropole pilote;;besoin d'études préalables;n'a pas encore été chiffré;Pas d'action en 2022;;non;coût++;2;impact+++;3;Risque inondation
7.0;62;65;Eau;Gestion différenciées des eaux pluviales - Vers un territoire 0 rejet;Encourager la mise en place de récupérateurs des eaux de pluie chez les particuliers;coût ++/impact +++;Orléans Métropole pilote;;a fait l'objet d'une étude de préfiguration;fait l'objet d'une inscription au PPI;Deploiement envisagé à partir de septembre 2022;;oui;coût++;2;impact+++;3;Eau et milieux aquatiques
7.0;69;925;Eau;Préserver les ressources en eau;Favoriser des actions en faveur de la biodiversité dans la gestion de nos équipements et ouvrages;;;;;;;;non;;N.A.;;N.A.;Eau et milieux aquatiques
6.0;58;116;Inondation;Mieux connaitre et adapter son territoire;Favoriser la réalisation de noues paysagères;coût ++/impact +++;Orléans Métropole soutient;;est déjà en place,statut expérimental,mérite une progression;sans objet;Utilisation du référentiel ville durable et outils développés par le Pôle DREAM (outils de montée en compétences, fiches retours d'expérience);PLUm;non;coût++;2;impact+++;3;Risque inondation
6.0;58;117;Inondation;Mieux connaitre et adapter son territoire;Re végétaliser pour lutter contre le ruissellement;coût ++/impact +++;Orléans Métropole soutient;;est déjà en place,statut expérimental,mérite une progression;sans objet;Etude pour identifer les zones prioritaires (couplages cartes de ruissellement et trame verte et bleue);;non;coût++;2;impact+++;3;Risque inondation
6.0;60;124;Inondation;Organiser la gestion de crise et le post crise;Renforcer nos capacités d’actions et de gestion post-crise : meilleure couverture assurantielle, gestion des déchets, résilience des réseaux;coût +++/impact+++;Orléans Métropole pilote;;a fait l'objet d'une étude de préfiguration;n'a pas encore été chiffré;Actualiser l'étude menée il y a 10 ans, analyse des retours d'expériences…;;non;coût+++;3;impact+++;3;Risque inondation
8.0;77;197;Alimentation;Préserver le foncier agricole et maintenir une activité agricole durable, compétitive et innovante;Multiplier les jardins de cocagne,  (ex.Solembio) permettant à la fois l'insertion par le travail et l'augmentation de la production bio;coût ++/ impact ++;Orléans Métropole soutient;;besoin d'études préalables;n'a pas encore été chiffré;Se rapprocher de structures d'insertion pour connaître leur volonté de développement de ce concept;;non;coût++;2;impact++;2;Alimentation et agriculture
7.0;67;924;Eau;Préserver les ressources en eau;Préserver le milieu naturel en réduisant les rejets non épurés;;;;;;;;non;;N.A.;;N.A.;Eau et milieux aquatiques
9.0;81;336;Ville durable;Adapter la ville au changement climatique;Mettre en place des micro expérimentations de traitement de voies perméables et résilientes dans la perspective du réchauffement climatique;coût ++/ impact ++;Orléans Métropole pilote;;est déjà en place,statut expérimental,mérite une progression;n'a pas encore été chiffré;Recherche d'expérimentation;autre;non;coût++;2;impact++;2;Ville durable
2.0;1;288;Rénovation;Organiser un dispositif d'accompagnement à la rénovation énergétique du bâti;Accompagner les bailleurs sociaux dans la rénovation des logements;coût ++/ impact ++;Orléans Métropole pilote;;est déjà en place,fonctionne;fait l'objet d'une inscription au PPI;Actualiser le réglement d'intervention pour intégrer une condition de non augmentation des loyers;PLH;non;coût++;2;impact++;2;Rénovation énergétique
2.0;2;294;Rénovation;Impulser la rénovation énergétique des bâtiments par le déploiement de solutions de financement adaptées;Conditionner le financement pour les bailleurs au maintien du loyer;coût +/impact+;Orléans Métropole pilote;;pas besoin d'études,facile à déployer;n'a pas encore été chiffré;Définir un nouveau réglement des aides de la Métropole;PLH;non;coût+;1;impact+;1;Rénovation énergétique
2.0;3;303;Rénovation;Structurer les filières professionnelles et acteurs pour une montée en compétence vers des rénovations performantes;Mener des actions de formation pour les syndics, les architectes, les bureaux de contrôle des entreprises et tous les intervenants sur la rénovation des bâtiments;coût ++/ impact ++;Orléans Métropole soutient;;est déjà en place,statut expérimental,mérite une progression;fait l'objet d'une inscription au PPI;Intégrer ces missions dans la convention avec l'ADIL sur le guichet de la rénovation;;non;coût++;2;impact++;2;Rénovation énergétique
1.0;12;31;EnR;Agir spécifiquement en faveur du développement du photovoltaïque;Développer l'autoconsommation collective;coût ++/ impact ++;Orléans Métropole soutient;;besoin d'études préalables;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;le plan de solarisation du patrimoine de la Métropole d'Orléans intègrera une réflexion avancée sur des possibles projets d'autoconsommation. Production d'une fiche méthode dédiée dans le radar des solutions (mise à disposition de compétences);PCAET;non;coût++;2;impact++;2;Energies renouvelables
1.0;16;27;EnR;Impliquer les citoyens dans le développement des énergies renouvelables;Structurer une Charte multi-EnR métropolitaine afin d’accompagner un développement concerté des énergies renouvelables respectueux de l’environnement et de la diversité des usages des sols;;;;;;;;non;;N.A.;;N.A.;Energies renouvelables
1.0;13;38;EnR;Assurer la montée en compétences du territoire et soutenir les projets;Faire en sorte que tout projet ou réhabilitation lourde du patrimoine d’Orléans Métropole fasse l’objet d’une étude géothermique approfondie;coût ++/impact +++;Orléans Métropole pilote;;besoin d'études préalables;n'a pas encore été chiffré;Plan de formation interne (y compris à destination des agents responsables de ce type de projets) sur le développement des énergies renouvelables à l'échelle du patrimoine de la collectivité;PCAET;non;coût++;2;impact+++;3;Energies renouvelables
1.0;13;904;EnR;Assurer la montée en compétences du territoire et soutenir les projets;Utiliser des matériaux biosourcés pour construire et rénover. En lien avec la rénovation énergétique;coût ++/impact +++;Orléans Métropole soutient;;besoin d'études préalables;n'a pas encore été chiffré;Promouvoir l'utilisation des matériaux biosourcés dans le cadre des évaluations du référentiel Ville durable;PCAET;non;coût++;2;impact+++;3;Energies renouvelables
3.0;25;257;Biodiversité;La nature comme solution;Réaliser un inventaire des arbres d'intérêt sur toute la Métropole, les protéger dans le PLU métropolitain et vérifier leur conservation dans les permis de construire;coût +++/impact+++;Orléans Métropole pilote;;est déjà en place,statut expérimental,mérite une progression;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;Inventaires en cours sur l'espace public, poursuivi en 2022;PLUm;non;coût+++;3;impact+++;3;Biodiversité
9.0;36;344;Ville durable;Limiter l'étalement urbain et développer la ville des courtes distances;Créer un maillage de parcs pour une accessibilité pour toutes et tous à moins de 10 minutes à pied de chaque habitation.;coût ++/impact +++;Orléans Métropole soutient;;besoin d'études préalables;n'a pas encore été chiffré;Approche déclinée dans l'axe Biodiversité;;non;coût++;2;impact+++;3;Ville durable
4.0;37;177;Mobilité;Diminuer l'impact des véhicules motorisés sur l'environnement;Aider les entreprises à transformer leur flotte vers des véhicules moins polluants;coût +++/impact ++;Orléans Métropole soutient;;besoin d'études préalables;n'a pas encore été chiffré;Définition typologie d'aides et validation politique ou non;SDE;non;coût+++;3;impact++;2;Mobilités durables
4.0;32;155;Mobilité;Améliorer et développer les services de mobilité;Mettre en place un service de transport pour les étudiants entre la Source Centre-ville, le jeudi soir et le week-end;coût +++/impact+++;Orléans Métropole pilote;;a fait l'objet d'une étude de préfiguration;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;"Mise en service d'une ligne de nuit courant 2022 entre la Source et Libération(jeudi, vendredis, samedis- 
allers-retours de 00h30 à 04h30)";PDU;non;coût+++;3;impact+++;3;Mobilités durables
